Utterance,Intent,Category 1,Category 2,Category 3
你好我想知道如何了解网上理财的转账限额,个人网上理财及手机流动理财的转账限额,Move Money,Transfer Limit & Registered account,Transfer limit and Registered account_Features
如何设定限额？,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
是可以在网上申请提高向非登记商户每日转账限额吗？,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
你好，我想了解下如何知道户口的网上转账限额,个人网上理财及手机流动理财的转账限额,Move Money,Transfer Limit & Registered account,Transfer limit and Registered account_Features
非登记户口的限额在哪里看?,转账限额是多少,Move Money,Transfer Limit & Registered account,Transfer limit and Registered account_Features
咱们银行的bank swift or bic是什么,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
我想办理网上银行转账，调高每日转账限额,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
我想往海外第三方账户转款,如何进行海外转账,Move Money,Telegraphic Transfer (TT),Outward TT_Set up
我有几个国外的朋友，需要汇款给我,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
如何更改收款人限额？,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
我新增了收款人，但在我的受款人栏目中没有找到？！,已登记的收款人账户何时生效,Move Money,Transfer Limit & Registered account,PIB_registered account set up
我们刚在汇丰银行开了户，收到了汇丰银行寄过来的一封通知信。现在需要接收国外汇款，请问贵银行的网点名称、银行地址、SWIFT 编码是什么呢？,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
上周我汇出了一笔约2500英镑的汇款到英国，请问能查到吗,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
HI! 6月29日海外转帐到中国建设银行。对方至今还没到帐。,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
就是我朋友要从美国汇款给我,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
这样就可以了？需要swiftcode 或填写银行地址？,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
是不是可以网上转账,如何转账,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Others
关于转账支付时保安器密码不对。能给我提供热线，人工解决吗,我无法使用保安编码器，请转线给你们同事,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Replacement
收款行标识：SWIFT CODE,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
好的，那添加受款人之后，多久可以转帐？,已登记的收款人账户何时生效,Move Money,Transfer Limit & Registered account,PIB_registered account set up
我想换取欧元后汇款到西班牙,如何进行海外转账,Move Money,Telegraphic Transfer (TT),Outward TT_Set up
你好，我上周六有一笔2万美元的转账因为对方账号少了一个“0”，导致对方尚未到账，钱也没有退回，对方要求我更改资料，请问我如何更改资料？,如何修改转账指示,Move Money,Move Money Transfer_ Others,Amendment
转至已经登记的户口,如何转账,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Others
汇丰的SWIFT code,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
"我想给 Citibank N.A., Hong Kong 汇款",如何转账,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Others
怎样转账？,如何转账,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Others
您好，刚才我询问过从海外向我的香港户口汇款的问题,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
请问汇丰的SWIFT CODE是多少,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
那个我这边要更改汇款限额，得怎么处理？,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
"另外,我能否把新的受款人 变成登记受款人?",如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
我想提高网上汇款限额,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
为什么我不能转账到另外朋友HSBC的账户,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
请问如何修改转账限额,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
你好， 非登记户口的网银汇款，限额怎么改,如何通过个人网上理财修改非登记账户的转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
我们如果还需要转账海外，怎么办呢,如何进行海外转账,Move Money,Telegraphic Transfer (TT),Outward TT_Set up
我需要提高每日最高非登记户口的最高限额，怎么操作？,如何通过个人网上理财修改非登记账户的转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
别人汇款给我，请问我该提供什么 code,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
比如 IBAN\SWIFT\银行地址,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
你好 请帮忙查一下 我26号支付的一笔款 对方公司说没收到  可是我们这边显示也没有退回,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
怎样设定受款人,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
录入新的受款人,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
新增受款人账户,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
刚才我设预设收款人的时候交易编码输错两次 ，显示暂不能使用了,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我要从美国往现在我的香港汇丰账户汇款,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
我要设定网上预设转账账户怎么做？,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
你好，为什么我不能转账给他人,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
我要添加他为我的受款人,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
我想咨询下 网银转款的话 最多可以转多少,个人网上理财及手机流动理财的转账限额,Move Money,Transfer Limit & Registered account,Transfer limit and Registered account_Features
我用保安编码器直接汇款给 非登记的户口，怎么操作呢,如何转账,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Others
您好，我的限额登记户口是40万，为什么我转23万港币老是提示超过分项限额,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
我在进行网上理财转账的时候，一直提示保安编码器密码错误，可是我已经按照指示操作的,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我还没有用过网上理财，目前人在国外出差，只是要新增受款人,银联双币卡有年费吗,Credit Card,Credit Card Fee & Charge,Credit Card_Annual Fee
为何我在网上转账的时候， 提示我有限额？ 我只转25000欧元,如何查看我的转账限额,Move Money,Transfer Limit & Registered account,Transfer limit_View
"您好，我想汇款到我的汇丰香港账户，我在哪可以获得银行的汇款信息，如开户银行地址,swift 代码等，谢谢",收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
如何使用保安编码器转账呢？,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
你好，我昨天提交了新增受款人，如果成功了是不是就在所有受款人那里显示了,如何在个人网上理财上查看已登记的账户,Move Money,Transfer Limit & Registered account,PIB_transfer limit others
bank code是多少？,香港汇丰的银行编号是什么,Move Money,Local Interbank Transfer,Local Inward Payment_required info
我正在尝试“新增受款人”,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
为什么还没有显示我已经添加的受款人,已登记的收款人账户何时生效,Move Money,Transfer Limit & Registered account,PIB_registered account set up
swift号码自动跳出来的银行地址同收款银行地址不符咋办,当系统显示SWIFT代码无效时如何查询收款人银行编号,Move Money,Telegraphic Transfer (TT),PIB_Outward TT others
你好，我昨天新增的受款人，现在还看不到呢，为什么,已登记的收款人账户何时生效,Move Money,Transfer Limit & Registered account,PIB_registered account set up
看完了，如果这个受款人限额5万港币的话，可以如何调整？,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
我的汇款收不到,如何查询汇入汇款的状态,Move Money,Telegraphic Transfer (TT),Inward TT_Status checking
我想登记收款人信息,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
你好。我想提升转账的每日限额,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
昨天登记的受款人，为什么现在还不显示？,已登记的收款人账户何时生效,Move Money,Transfer Limit & Registered account,PIB_registered account set up
新增加的受款人，什么时候才能使用,已登记的收款人账户何时生效,Move Money,Transfer Limit & Registered account,PIB_registered account set up
转账到汇丰加拿大的私人账户，转账金额有多少限制,转账限额是多少,Move Money,Transfer Limit & Registered account,Transfer limit and Registered account_Features
我有一笔转账退回怎么查询原因呢,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
我转账限额是零，如何更改？,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
修改我的受款人转账限额以后，多久生效？,通过个人网上理财修改登记账户的转账限额何时生效,Move Money,Transfer Limit & Registered account,PIB_registered account amendment
我上周六上午提交的两笔2万美元汇款至今尚未从我账上扣款，到底是什么原因？,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
你好，我在新增受款人,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
想问下，从内地银行汇款到香港汇丰银行。内地银行要求收款银行的swift code 和收款银行清算号？,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
我想添加新的收款人，按照提示操作后,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
前几天从内地转一笔资金进入我的汇丰卓越账上（122-********-830）。为什么至今还没收到？,如何查询汇入汇款的状态,Move Money,Telegraphic Transfer (TT),Inward TT_Status checking
你好，我想汇一笔人民币到中国账户，,转账人民币至中国内地的注意事项,Move Money,Telegraphic Transfer (TT),Outward TT_Features
HSBC汇款页面上，必须要填IBAN号码！,如何填写IBAN及银行账户,Move Money,Telegraphic Transfer (TT),PIB_Outward TT others
我给大陆朋友汇了一笔款，因用途填写不当对方无法查收，我如何可以修改该汇款的用途？,如何修改转账指示,Move Money,Move Money Transfer_ Others,Amendment
你好，海外转账几天可以到账,收款人何时会收到我的海外汇款,Move Money,Telegraphic Transfer (TT),Outward TT_Others
你好，我需要海外汇款，美金汇到国内账户,如何进行海外转账,Move Money,Telegraphic Transfer (TT),Outward TT_Set up
我想海外转账,如何进行海外转账,Move Money,Telegraphic Transfer (TT),Outward TT_Set up
我的汇款额度是每日********港币对吗？,如何查看我的转账限额,Move Money,Transfer Limit & Registered account,Transfer limit_View
昨天（周六）上午提交的汇款应该什么时间能到对方帐？,收款人何时会收到我的海外汇款,Move Money,Telegraphic Transfer (TT),Outward TT_Others
内地中国银行银行编号是多少？,进行转账时需要提供什么信息,Move Money,Move Money Transfer_ Others,Outward Payment_required info
汇丰银行的银行编号是什么？,香港汇丰的银行编号是什么,Move Money,Local Interbank Transfer,Local Inward Payment_required info
我输入swift码以后自动跳出别的银行信息,系统查询结果与收款人提供的信息不符,Move Money,Telegraphic Transfer (TT),PIB_Outward TT others
我想海外转账,如何进行海外转账,Move Money,Telegraphic Transfer (TT),Outward TT_Set up
请问我的汇款额度是多少？为何我的汇款限额是0？,如何查看我的转账限额,Move Money,Transfer Limit & Registered account,Transfer limit_View
我要从国内向我的香港HSBC账户转款，收款银行信息怎么填写？,收取电汇汇款时需要向汇款人提供哪些信息,Move Money,Telegraphic Transfer (TT),Inward TT_ required info
如何提高原有受款人的汇款限额？,如何通过个人网上理财修改转账限额,Move Money,Transfer Limit & Registered account,PIB_transfer limit amendment
如何给受款人转账？,如何转账,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Others
那我IBAN如何填写,如何填写IBAN及银行账户,Move Money,Telegraphic Transfer (TT),PIB_Outward TT others
我想请问如何在网银设置提升我的已登记受款人账户每日转账限额 谢谢,如何在个人网上理财修改登记账户的转账限额,Move Money,Transfer Limit & Registered account,PIB_registered account amendment
我刚才汇出14022美金，国内受款，这样需要手续费多少？,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
新增收款人默认转账额度是多少,转账限额是多少,Move Money,Transfer Limit & Registered account,Transfer limit and Registered account_Features
你好，我需要使用网上银行向保诚保险支付一笔美金,如何转账,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Others
登记收款人,如何在个人网上理财中添加收款人,Move Money,Transfer Limit & Registered account,PIB_registered account set up
转账 新的收款人,如何转账,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Others
HI，我可以向未登记收款人转账最大限额是多少？,转账限额是多少,Move Money,Transfer Limit & Registered account,Transfer limit and Registered account_Features
已登记户口需要多久生效？,已登记的收款人账户何时生效,Move Money,Transfer Limit & Registered account,PIB_registered account set up
为什么美金户、户口转账转不了,查询交易进度,Move Money,Move Money Transfer_ Others,Outward Payment_Status checking
请问您需要我提供步骤删除受款人名单吗？,如何在个人网上理财上删除已登记的账户,Move Money,Transfer Limit & Registered account,PIB_registered account deletion
我想用缴费功能支付安盛保险公司的保险费,如何通过个人网上理财进行缴费,Move Money,Bill Payment,PIB_Bill Payment_Transfer
如果直接转账的话手续费是多少？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我要转账到美国本人名下的户口如何操作,如何进行海外转账,Move Money,Telegraphic Transfer (TT),Outward TT_Set up
是希望登记AIA为受款人，进行定期缴交保费,如何添加商户至我的受款人,Move Money,Bill Payment,PIB_Bill Payment_Payee
通过网上理财转账至我的香港汇丰账户日分项限额urrency每日分项限额 HKD ******0,个人网上理财及手机流动理财的转账限额,Move Money,Transfer Limit & Registered account,Transfer limit and Registered account_Features
转账到其他国家的汇丰也是这样收费吗？,转账到海外汇丰账户是否免费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
请问登记新的收款人时，保安编码如何产生,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
新增转账收款人时，提示保安编码不正确,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
请问添加收款人需要填写的交易安全码是什么呢,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
新增受款人，最后一步的交易安全码,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
你好，我要登记网中国的转账户口，为什么总是显示保安密码错误？,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我汇款到渣打银行去，为什么新增收款人加的时候，使用密码器多次，都是告诉我不对？,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
"我在输入环球转帐受管人资料时,说我输入保安编码不正确",我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
新增受款人，最后一项要输入编码器密码，是要点输？,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
在新增受款人里最后需要填写的保安编码是什么,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我想转账，然后新增受款人的时候，确定时要输保安编码，我确实是输了，但一直提示我错误,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
不会，但是我新增受款人，一直说我的保安编码不对,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我在设定新的转账客户时，被要求输入保安编码确认,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
登记海外帐户最后一步，怎么操作编码器？,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
刚才在添加转账联系人和转账的时候总是提示我 输入的保安编码不对,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我又在修改限额过程中一直显示编码器密码错误,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
你好。刚刚想提高转账额度。。要我输入保安编码。。我输错了几次。。,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我在新增受款人资料，保存时要求保安密码,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
新增受款人时 保安编码器无效,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
网上转账到本地其他银行，总是询问保安密码,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我拿着密码器，怎样去的新增受款人密码,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我在做海外转帐新户口资料保存，保安编码输入3次都被拒绝了,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
你好！我在增加受款人信息时，最后编码器操作一直说我是错误的,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我在做新增受款人时超过三次错误，所以被告知暂时不可以使用,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
"我在新增汇款收款人时,要我输入保安交易编码",我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
transaction code是解码器密码嘛,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我想新增受款人，结果提示编码器多次错误，我现在需要怎么做？,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我添加了 我的受款人，为什么没有显示在我的受款人里面？,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我要汇款去海外，收款人资料都已备齐，请问如何得到“交易保安编码” ？,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我在网上转帐，为什么我按提示操作，总是提示说保安编码不对呢,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
在登记收款人的时候保安编码被锁定了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我刚刚在网银添加受款人信息 但是输入保安编码次数超过三次被锁定了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我在填写收款人信息和更改转账限额时，输入3次保安密码，都说不对。现在不能用了。,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
在操作网银的时候。。。保安编码次数上限被锁定了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
转账的时候，提示，已达到保安编码次数上限,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
用汇丰向招商银行香港分行转账已达到尝试输入保安编码的次数上限，您的保安编码已被锁定。 (VTS_0002),连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
你好，我要新增受款人，转帐支付使用，输入保安编码次数上限，已被锁定，但我输的并无误呀,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
你好，我在线支付一笔款，在输入您的交易安全码那里，我输入次数过多，结果网页显示说被锁定，那我明天继续支付，还是怎样？,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我输入受款人帐号后8位，得到的保安编码，输入不对,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
汇款编码器不行,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
"我在填写完新的收款人，保安密码器操作时，按下黄色按钮，不能显示数字,请问这是什么情况",我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
刚刚新增了受款人的时候  提示需要激活密码器,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
你好，请问在汇丰分行柜台汇款到汇丰他人账户，需要收手续费么？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账费用是多少？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
汇丰对汇丰的转账是否不用手续费,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
还有一个问题，如果我在限额内转账，每笔的转账的收费是港币65元，对吧？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
因为听说普通转账手续费很高,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
汇丰与汇丰之间转账，收手续费吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
请问汇款手续费大概多少？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账收费可以告诉我,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
那么我要转账的这个账户不论转账多少钱，一次的手续费都是14.69美金是吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
美元转账也是免费？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我还想问下，我跨境转账的手续费是怎么收费的，有没有明细,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
所以我的转账不需付手续费？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
请问转账人民币到同样是汇丰账户的第三方，需要收手续费吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账有手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
行内转账是否收费？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
汇款费用如何收,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账可以的，但是要缴纳手续费吧？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
如果汇款额很小几美元手续费也是65港币吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
请问给香港本地其它银行转账的手续费是多少？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
你好 我的账户转账每次手续费都很多，能不能给我做减免啊,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账的手续费是从转账金额中扣除，还是从我的账户扣,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
另外，交保费转账的每笔钱HSBC要收手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
特快转账和电子转帐有什么区别吗?在汇款金额和手续费上,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我要是转到海外银行的话一笔手续费是多少？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
汇款费用需要吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账的费用,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
单比转账手续费多少呀,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我网上转账需要支付手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
对外转账的手续费费用是否有变化？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
汇款到同样香港的汇丰银行账号，有手续费吗？,转账至香港汇丰账户需要手续费吗,Move Money,In-house Transfer,In-house Transfer_Fees & Charges
汇丰同行异户的转账费用是多少？,转账至香港汇丰账户需要手续费吗,Move Money,In-house Transfer,In-house Transfer_Fees & Charges
卓越理财账户转的本地其他银行，如果不用特快转账，需要手续费吗？,转账至香港汇丰账户需要手续费吗,Move Money,In-house Transfer,In-house Transfer_Fees & Charges
我朋友是招商银行香港的账户 我如果转3000欧元，手续费是多少钱,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
我是转至香港渣找银行哦，不同行也不收费？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
转账到朋友在香港恒生银行的账户，需要支付服务费或者手续费吗,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
请问同是香港开户，我跨行给恒生银行转账会收多少钱手续费,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
转账如何收费 ？本港私人汇丰过数本港恒生公司户口 ？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
转账到招商银行香港分行的话，手续费收多少呢？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
请问从汇丰香港 汇款给 花旗香港，需要多少手续费？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
汇丰的特快转账现在也不收费了吗?,通过在线转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
电子转账和特快转账的服务费都显示0，特快转账以前是收55，是以后都不收了，还是临时优惠？,通过在线转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
请问向香港本地银行汇款，在网上汇出，那个时段不收取手续费？,通过在线转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
好的，确定转账欧元到本地银行，也是免费的是吧？,通过在线转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
你好，请问一下海外转账每笔费用是多少？！,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
若汇款到美国，怎么收费呢,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
请问，转账至内地银行手续费如何收取,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
我如果汇款到英国，手续费是多少,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
